"COMID","JAN_Q_NORM","FEB_Q_NORM","MARCH_Q_NORM","APRIL_Q_NORM","MAY_Q_NORM","JUNE_Q_NORM","JULY_Q_NORM","AUG_Q_NORM","SEPT_Q_NORM","OCT_Q_NORM","NOV_Q_NORM","DEC_Q_NORM","LONG_TA_METERS","LAT_TA_METERS","TotDASqKM","IN_HUC12","AREA_ID"
948070409,1.71850905750438,2.87593311515879,2.94187476093294,1.6997047241397,0.710329025376108,0.302374837662847,0.0865846253226667,0.0525053214735765,0.0303764873330392,0.0937141049790274,0.273071793610196,0.775668466209039,289766.75,-566543.1875,514.3383,180703040703,20
20332986,1.87021045563324,3.92624397920196,3.22519530566357,0.977703850073813,0.345166330185948,0.15247546854842,0.0486022064614982,0.00834261043312282,0.018768251744458,0.10245339972641,0.285222417102293,0.60661070346212,294643.0313,-568944.25,32.7015,180703040703,30
17595429,2.57652297370682,3.69616701234219,2.5591021959886,1.06318315942544,0.320963510788374,0.140523592956841,0.0766467397481356,0.0508642482532794,0.0465054471246701,0.0994964697717277,0.255025663914783,0.689205162791333,20813.83203,-395412.875,50.5818,180600130201,40
1669105,2.90594992018741,3.00682067700233,1.96791974626426,0.993874836623202,0.338361162364147,0.14003976964497,0.0664734936334845,0.0404030623804407,0.0407526498006223,0.100714517447411,0.505839552554976,1.74893003693169,-221134.9531,44607.29297,84.0744,180500020301,50
8273405,3.08860030207435,3.12460674009809,2.04976450111266,0.95633980046368,0.303466132766528,0.107297233239503,0.0488083634221683,0.0384574808824236,0.0520145037192083,0.100169981739986,0.476001121713475,1.58894134715872,-235564.6719,41037.20313,72.2034,180101100701,60
8317911,2.32591917405914,2.23800293977027,2.10018974908403,1.30882055125646,0.632522145713717,0.253946221537027,0.0845381257283569,0.0375475995805372,0.0331441592754141,0.134034719722811,0.824516842983023,2.07363736500256,-320354.6875,332230.5938,215.3817,180101020102,70
8287580,2.81585298103601,2.47059225229023,1.90862122694587,0.995450011430302,0.429259106933078,0.163078195231272,0.060238725547223,0.0342969238332386,0.0272433508946368,0.113551557333853,0.642941953897028,2.25670075168438,-300332.5,191550.25,89.8785,180101060101,80
12068334,2.587696278392,2.81155676829253,2.22102787436723,1.21906809914516,0.525736945087418,0.216877664488609,0.0947975940640985,0.0598792604471025,0.0510433045388751,0.117931880055437,0.428036407063309,1.42562891172862,-205361.1719,225238.3594,361.3203,180201560204,90
2665669,3.02375743425647,2.74917183025532,2.09080908296668,0.98555825708027,0.305240449950119,0.11560772558816,0.0473576290347069,0.0219085943191315,0.01926750248407,0.0704299744594039,0.438559207967843,2.02387921787776,-318786.0938,134731.4063,815.9895,180101080409,100
1668287,2.90102372293457,3.0497583060841,2.09858724512314,1.02064479043607,0.345556204761012,0.119396405510277,0.0422502530330507,0.0183592459432338,0.0189512042860153,0.0932102179988014,0.490694647437161,1.67264427458436,-217172.1719,59633.58984,179.9046,180500020202,110
20357346,2.37534101220208,3.19202751969093,2.52716507711416,0.706986015868415,0.256819256912657,0.139467736729852,0.167021882541811,0.24629581459496,0.449307628964088,0.182377124134706,0.540631051437063,0.901419901008701,201478.9844,-478919.2813,360.729,180702040103,120
20355428,2.60403542608119,3.55775175584691,2.57845216091706,0.818614467101142,0.286220021851087,0.125471611826282,0.114397523030154,0.129811924504969,0.132327576729336,0.150310237117535,0.382430181292744,0.756227895035303,212179.4688,-481055.5625,108.2376,180702040102,130
5329833,2.99166027874103,2.95270771882119,2.00750954967318,1.00659194861188,0.340162584557412,0.15683215164352,0.0695896299844623,0.0650646446085159,0.0294144864745455,0.124063972581923,0.46623297348401,1.75720934379191,-245062.5156,8824.864258,37.8225,180500050104,140
14917781,0.342821731755166,0.304687162103336,0.527933648100468,1.23261158230906,2.73483643117164,3.10667033816893,1.73702535498829,0.782329325322275,0.263804869051468,0.124065873367419,0.219321320638814,0.288166837585713,113279.2031,-152844.2813,49.248,180300070401,150
22549111,2.1587328009455,3.2055669517202,2.86179919507057,1.19260032524969,0.378011460786621,0.194088675682791,0.0795212296907427,0.0750758674369394,0.0724370508974696,0.172724846675407,0.369825672947948,0.770557976744294,258672.0469,-505936.5,1659.6405,180703020503,160
4439032,2.04461076805934,2.01746564412898,1.74325745044489,1.36334783912167,0.848095946875211,0.430406142110586,0.157924860238542,0.086270813150815,0.0851387761020614,0.237397798545804,0.904598754561802,2.02235130753968,-284252.625,428242.9688,349.1604,180102090104,170
8284190,2.7408784265888,2.5004794590623,1.95428877496891,1.02320137065878,0.392768320055199,0.169710723673636,0.0611658977859582,0.0277329296496823,0.022186345126161,0.112178665019741,0.722535499988432,2.25980743656857,-342151.875,262847.9688,72.1647,180101060406,180
14882595,2.08591977027868,2.98434946211846,2.92479614308212,1.65650576039905,0.519009929256204,0.201961854298975,0.0682431074662175,0.0201032833824724,0.0231589162486916,0.028198182679326,0.13085620032429,0.820190917265464,-44551.29688,-178708.6719,118.2168,180300090605,190
8007755,2.87716689283327,2.82163562176229,2.10121656026299,1.08569389709623,0.414961423100329,0.157120943682989,0.0491783365913774,0.0233495757820762,0.0248196340011982,0.0768967535484181,0.517776420298136,1.66103600101303,-224687.5625,132950.9844,198.0522,180201160403,200
8193647,2.04792935832141,2.60188011206591,2.13521904186176,1.29959016432067,0.676065486933544,0.449644510784959,0.326452285407441,0.266244877670188,0.256441968841996,0.294872705408396,0.420147933179064,0.843121160257444,-47899.39844,-304157.2813,56.1222,180600060601,210
14934688,1.36479700983715,2.09889769022576,2.38413839123142,2.34097984265912,1.15561802429247,0.561059490352259,0.185010891380653,0.0700635515140923,0.0535667827089555,0.0589234242316035,0.281509168231486,1.05631297351403,105104.2578,-228678.5,261.0828,180300050401,220
17688091,2.60576438263668,2.90509768350759,2.20555359185099,1.32229928187683,0.454780173146306,0.223241780361106,0.123074443472172,0.0829325748123257,0.0656619361509675,0.123411963782498,0.302492722773234,1.4093040803739,-201136.7031,-80473.92969,116.9748,180500060103,230
22548555,2.1072758806107,3.27474302177491,2.90872118865255,1.16517349007803,0.376710558118904,0.198703273731495,0.0829383518833471,0.0784530977989761,0.0633534293308584,0.17259997757602,0.350332176939447,0.756106974195771,246600.7813,-519748.3125,1804.2372,180703020504,240
2804929,3.14225110928889,3.04615407064824,2.32325926040287,1.20375955026753,0.314620185721366,0.116149705013498,0.0512388684625078,0.0315535766241096,0.0131621889119293,0.121109336589174,0.209064891677917,1.26057131576972,-177191.3594,-34736.86328,119.1456,180500040802,250
2808653,3.00324094755438,3.16246243101026,2.47238188320831,1.15741296842931,0.276187110840994,0.0983066414274058,0.0398374543537983,0.0212472981400357,0.0218718759488441,0.023499808678279,0.178440082183674,1.37081202354674,-156428.9219,-48471.58203,99.3042,180500040601,260
17596211,2.58847584549793,3.68362654748421,2.49201770468336,1.06750371502367,0.32783808503918,0.147036637492753,0.0790167936233805,0.0549490755482409,0.0524967341942032,0.109157268045924,0.264302785957032,0.712782696633475,13857.60547,-395106.0625,92.9358,180600130202,270
17595467,2.6319021960142,3.75437727508063,2.35799298697839,1.08564583636304,0.358496827607748,0.150530681649815,0.0923362905697872,0.0738439802041603,0.0664194904807824,0.0972188892265492,0.25348352760487,0.666815359571965,29902.85742,-396700.4375,25.5249,180600130203,280
2789355,3.11753229721659,3.17169023231036,2.26110667954818,1.16710874106082,0.304205453229074,0.11719899982619,0.0493706188888549,0.0201462403664144,0.0165866680835145,0.111296217350662,0.197879745465743,1.30402065097374,-174532.375,-18830.33203,132.9597,180500010201,290
8273269,2.88940376601931,3.03875362455585,2.0313929811276,1.05481047099527,0.315110932246052,0.102166794596117,0.0370968057286375,0.019435356169179,0.0195862598783941,0.0902611880140069,0.540127266820723,1.68699099562965,-228014.375,53950.71094,86.9949,180101100702,300
8020924,1.47275347538896,1.59793418561532,1.72930047978196,2.03193446438904,1.9032788721042,0.789341625338298,0.346181152777085,0.156990244161163,0.120390374278208,0.212076632085043,0.463645688258754,1.02108199271244,-159220.0156,224793.4688,542.574,180201570206,310
22555872,2.36099958675099,3.65421871981932,2.1182896050285,1.07079304652629,0.599200365495724,0.336104321156886,0.180906177976529,0.131034660506402,0.11368611964571,0.144652878458077,0.237632131368644,0.711677187829002,254239.75,-423330.6563,43.5015,180702030505,320
8009293,2.72290009768413,2.86931331233858,1.98414245966565,1.02547391730866,0.426936634783075,0.175287528845726,0.0737347887480307,0.0448688210156494,0.0466013203309556,0.125729816332734,0.554110402737182,1.85391980179348,-241562.1563,97642.375,91.9494,180201160303,330
8232398,2.29006532334367,2.36556967280089,2.15963795484054,1.46133968527362,0.79871324736821,0.339293321457412,0.130269693380163,0.0634861320258908,0.0514612874086991,0.131637577167299,0.483889980760043,1.55740376126883,-297188.7188,294497.2813,1953.1908,180102120503,340
8056785,1.37510021081616,1.50734749486598,1.71218161634371,1.87623105113217,1.99348401299978,1.10680159829413,0.330566363741683,0.16400015837375,0.117881180579755,0.176868939574302,0.445821684500262,1.1184759614251,-83956.65625,168532.2344,741.9888,180201250302,350
5329573,2.98367248583597,2.95625806375892,1.96269513729558,1.0237660822947,0.33246403647427,0.151235310931252,0.065056275578678,0.0596130297765204,0.028885528756266,0.123577207157277,0.477765984896899,1.81305245722266,-241200.6406,1844.785645,28.674,180500050104,360
22548475,2.4685596751537,4.10151820665547,2.88990802858147,0.883751110961004,0.238171485358582,0.0736517015320803,0.0203656511430492,0.00641318972564725,0.00710754428816362,0.084836781323686,0.18377006164758,0.640771377149262,265459.9063,-506194.7188,26.9676,180703020503,370
22549115,2.32176587343052,3.72758156092007,2.54414644598947,0.788805205747078,0.344333942220822,0.317054618450071,0.185931353730021,0.208446931767129,0.194694768522157,0.135077191761179,0.490086264462238,0.389280866976507,253864.3281,-513240.5,18.7461,180703020504,380
20355400,2.67765980525493,4.1755549804221,2.96615798644729,0.87686720274063,0.167928440635968,0.0381700283717012,0,0,0,0.0408180648795349,0.119177393550582,0.49542581513188,214905.7188,-476816.5313,7.3494,180702040102,390
20355520,2.36883250405516,3.99329326026336,2.67484139297214,0.763945940468209,0.207143463869114,0.133428309719432,0.13859317963017,0.0322259821231064,0.0227393922567377,0.143003445287825,0.539658314149418,0.6075208932109,200624.1875,-485393.5625,14.1408,180702040103,400
22557854,1.9722856561697,3.42115433919022,1.98612867124874,1.14445875415435,0.784101464995221,0.477708949608412,0.279748076495744,0.227474484861304,0.166493026068814,0.240047815996063,0.215943754763053,0.730368876794631,256883.9688,-422984.4063,8.2683,180702030505,410
22555344,1.79754510047093,2.58077863716815,2.31958569953848,1.34708797424461,0.862074702096437,0.52355088292783,0.307280983711028,0.20610546914309,0.189444593795664,0.253535290963906,0.444077601528415,0.8069906526366,250448.7656,-419350.7188,15.0588,180702030505,420
17595453,2.51274095076011,3.91239506039006,2.37511318431632,1.07406606068564,0.321561920162017,0.144890006643591,0.0800493352781094,0.0455123808140814,0.0498628160042878,0.100206789286911,0.291161927227607,0.693725508898831,27001.91016,-395740.6875,30.0843,180600130203,430
17596109,2.65936174626134,3.63660525257683,2.43785446048003,0.984097133132091,0.319587945506381,0.128399038515728,0.0635137043323881,0.0420910076450658,0.039331222498454,0.0968513178833818,0.280491126329776,0.861961202602506,16919.4043,-391485.9375,15.8463,180600130202,440
2790443,2.75394035267812,3.08269111660897,2.40053494991372,1.33216929802099,0.416305501205094,0.161999719386547,0.0594073843555059,0.020132240114647,0.0104084705663089,0.107619632740838,0.201120832788568,1.25605744545469,-178008.6406,-22522.3457,16.5258,180500010201,450
2808579,2.82267219718244,2.90501897695926,2.65043656635073,1.2110620606843,0.357353359110599,0.128649705207433,0.0528394320626579,0.0349398596454389,0.0211015475894267,0.0239308790188913,0.221460473947608,1.37680909336619,-155577.7344,-52194.26563,18.9495,180500040601,460
8193709,2.24279756332555,2.7932523786072,2.25289043122879,1.29907799833843,0.663000138582766,0.407757065328479,0.272948994944227,0.249918475651727,0.182819156313164,0.255925700456009,0.20893348373898,0.760828591178122,-45965.78906,-310221.9688,82.9332,180600060601,470
17688301,2.86298793293719,2.72421971051146,2.15480390913748,1.24613404491315,0.456187778510239,0.230797039350449,0.113560202263476,0.0673163354438533,0.0554047454062028,0.136804117818335,0.346196569231695,1.46579844476051,-208993.4375,-80785.41406,154.9134,180500060103,480
7984231,2.62701459008638,2.6423680246815,2.13803668986586,1.30920175401888,0.548892319630709,0.220797169083703,0.0847859109628843,0.0428954954001535,0.0292444084199582,0.119617367386682,0.478995339726655,1.5018831248442,-217600.6406,226983.2031,233.9226,180201560204,490
12071480,1.49396501323644,1.6326866892365,1.71069652785538,1.99118073701394,1.91944291685867,0.719696354103514,0.345061819728552,0.164935422598697,0.136119013217326,0.232910018627841,0.470602619736684,1.02418788353158,-171450.5156,219461.4219,575.4564,180201570206,500
8058609,1.30014697501193,1.40795979755462,1.47633533288397,1.97335077835105,2.18359535554734,1.2446398830873,0.351759262340387,0.16475055574323,0.115625605334096,0.173376461616522,0.449761951908983,1.08702425836053,-78806.79688,169997.7813,645.4692,180201250302,510
8007925,2.75322975930707,2.98129282792762,2.0634961513555,1.01861826930818,0.396747514595142,0.164308819839343,0.0714768996280632,0.0395724497470096,0.042440061696843,0.106075128347329,0.521102137145162,1.74434492139949,-246188.2188,107941.0859,115.245,180201160303,520
8005975,2.83834807258199,2.79290079524278,2.1094165472211,1.1241864289913,0.427203866851575,0.151497174193926,0.0420240270559995,0.0156375812326147,0.0115549788369629,0.0649186222157232,0.460870460655447,1.74591265358692,-227013.1406,130301.7422,155.5119,180201160403,530
1669021,2.95839298253727,3.06633576106281,2.09956050711708,1.0217720337065,0.334573064282268,0.113891619173487,0.040562085875231,0.0174079818189413,0.0176482243110061,0.0908481831442686,0.497665797087316,1.61896396722756,-211942.0469,52095.71875,273.3705,180500020202,540
